-4824,-5100,14564,165,526,-297,551,570,589,547,559
-4620,-4900,14612,-204,349,-466,551,569,589,545,558
-4620,-4900,14612,-204,349,-466,551,569,589,545,558
-4444,-5460,14292,447,149,-253,552,569,589,547,557
-4752,-4868,14996,300,173,-226,551,569,588,545,557
-4752,-4868,14996,300,173,-226,551,569,588,545,557
-4672,-4852,14868,-1001,88,-734,551,570,589,546,558
-4672,-4852,14868,-1001,88,-734,551,570,589,546,558
-4508,-5492,15024,1335,-35,110,552,570,590,546,556
-4536,-5200,15240,1296,-55,169,553,570,589,545,558
-4588,-4908,14920,-565,7,-163,552,569,589,546,558
-4588,-4908,14920,-565,7,-163,552,569,589,546,558
-4516,-5636,14696,152,-66,31,552,570,589,545,557
-4560,-5048,14920,1084,-72,218,551,572,590,546,558
-4560,-5048,14920,1084,-72,218,551,572,590,546,558
-4464,-4600,14748,-77,-151,-73,553,571,589,546,557
-4464,-4600,14748,-77,-151,-73,553,571,589,546,557
-4464,-4600,14748,-77,-151,-73,553,571,589,546,557
-4300,-5472,14600,346,-167,29,553,570,590,546,558
-6760,-5236,15556,-1461,-750,657,552,570,589,545,558
-6760,-5236,15556,-1461,-750,657,552,570,589,545,558
-6760,-5236,15556,-1461,-750,657,552,570,589,545,558
-7212,-5412,15360,-2445,-796,691,555,568,588,546,558
-11792,-9032,14584,-3702,-498,3044,552,569,586,545,560
-14920,-8524,15880,4353,1723,8886,555,570,586,546,558
-10536,8916,13616,1012,8847,5694,551,567,589,545,557
-10536,8916,13616,1012,8847,5694,551,567,589,545,557
-2200,8688,16344,2449,7430,-5181,551,570,589,545,558
6396,7240,16048,8636,3724,-15642,549,571,592,547,557
6396,7240,16048,8636,3724,-15642,549,571,592,547,557
14204,-2620,16988,11205,-919,-19229,550,571,591,545,557
15000,-12208,20548,20162,-5845,-12305,550,570,590,545,557
4060,-15932,18376,-2051,-9692,-3906,543,560,579,544,557
4060,-15932,18376,-2051,-9692,-3906,543,560,579,544,557
-5660,-25324,15112,-8990,-11823,4937,547,559,580,539,557
-7484,-24960,14808,-9134,-12143,6194,544,553,578,537,558
-7484,-24960,14808,-9134,-12143,6194,544,553,578,537,558
-7484,-24960,14808,-9134,-12143,6194,544,553,578,537,558
-7484,-24960,14808,-9134,-12143,6194,544,553,578,537,558
-13672,10908,15120,-11511,11341,10971,540,560,584,535,556
-13112,11156,15340,-10728,11562,9446,540,558,585,534,558
-6024,7748,16684,-2414,12009,-1557,539,562,588,536,555
-6024,7748,16684,-2414,12009,-1557,539,562,588,536,555
-188,7552,16496,8027,8310,-11643,544,566,589,539,557
6240,-1236,17584,18766,5395,-16354,544,567,591,540,556
6240,-1236,17584,18766,5395,-16354,544,567,591,540,556
6536,4384,18100,19760,-718,-18922,547,568,591,539,555
9156,-7592,18192,12393,-1598,-17274,546,567,589,542,557
9156,-7592,18192,12393,-1598,-17274,546,567,589,542,557
464,-7420,17884,8404,-4924,-11117,547,567,588,540,558
