-11675,-8816,8032,-1206,-385,-1238,556,596,608,557,583
-11555,-8660,8032,550,-423,-146,559,598,608,555,580
-11555,-8660,8032,550,-423,-146,559,598,608,555,580
-11567,-7660,7864,1702,-306,832,557,596,607,554,582
-10643,-7420,7308,2378,-790,874,557,596,607,555,581
-10643,-7420,7308,2378,-790,874,557,596,607,555,581
-9011,-6956,6524,1837,-2360,-47,556,599,608,557,582
-8023,-6320,6040,3612,-5484,-1241,556,595,607,556,584
-9591,-7484,9512,746,-7552,-1995,556,597,608,556,582
-9591,-7484,9512,746,-7552,-1995,556,597,608,556,582
-9591,-7484,9512,746,-7552,-1995,556,597,608,556,582
-9591,-7484,9512,746,-7552,-1995,556,597,608,556,582
-14339,-10024,12708,-285,-6810,-1711,558,597,607,556,583
-17315,-10132,13180,2843,5234,8518,561,598,610,557,585
-17315,-10132,13180,2843,5234,8518,561,598,610,557,585
-14915,-6848,10788,10644,10051,12146,562,598,609,556,586
-10939,-3052,8984,11980,11428,10803,560,596,607,557,585
-6995,-2268,6464,5057,9644,5968,557,595,608,555,584
-6995,-2268,6464,5057,9644,5968,557,595,608,555,584
-4407,-4168,3212,1961,4651,1286,559,596,609,557,584
-4407,-4168,3212,1961,4651,1286,559,596,609,557,584
-3059,-4772,1796,4324,-3363,-2524,561,596,608,558,585
-2347,-5428,3256,5587,-9896,-5081,561,595,607,556,583
-8951,-7252,8280,-1833,-14006,-7795,560,595,608,554,583
-8951,-7252,8280,-1833,-14006,-7795,560,595,608,554,583
-10511,-7680,8848,-3495,-14350,-8045,560,596,608,558,584
-10511,-7680,8848,-3495,-14350,-8045,560,596,608,558,584
-17299,-7548,14000,157,2613,4576,561,596,607,555,585
-17299,-7548,14000,157,2613,4576,561,596,607,555,585
-14635,-6244,15256,2262,6714,6664,558,595,606,555,584
-14635,-6244,15256,2262,6714,6664,558,595,606,555,584
-12555,-6212,15800,2009,9521,7003,559,594,607,555,583
-12063,-3368,15860,1708,12824,7146,526,591,604,553,580
-12063,-3368,15860,1708,12824,7146,526,591,604,553,580
-12151,-1752,14220,3867,16157,7849,541,577,587,540,562
-13583,-1164,11976,6128,17203,8022,472,550,553,512,528
-14275,-2240,10264,12903,16493,7548,365,532,527,492,507
-14275,-2240,10264,12903,16493,7548,365,532,527,492,507
-15387,-3340,5204,17694,15899,6271,455,516,508,468,488
-15387,-3340,5204,17694,15899,6271,455,516,508,468,488
-16071,-260,800,26156,12176,4346,500,505,500,452,474
-15347,4276,-4808,21186,5605,516,556,502,501,452,480
-16507,2920,-5872,23918,-3612,-2434,555,500,488,437,477
-16507,2920,-5872,23918,-3612,-2434,555,500,488,437,477
-14039,4132,-6352,22550,-13492,-6723,554,505,485,434,483
-14039,4132,-6352,22550,-13492,-6723,554,505,485,434,483
-10207,3324,-4796,22500,-23168,-9755,558,508,479,426,482
-10207,3324,-4796,22500,-23168,-9755,558,508,479,426,482
-10207,3324,-4796,22500,-23168,-9755,558,508,479,426,482
-10207,3324,-4796,22500,-23168,-9755,558,508,479,426,482
