-9076,-7960,-2644,-228,-199,-43,589,610,612,567,593
-9076,-7960,-2644,-228,-199,-43,589,610,612,567,593
-9076,-7960,-2644,-228,-199,-43,589,610,612,567,593
-9076,-7960,-2644,-228,-199,-43,589,610,612,567,593
-9076,-7960,-2644,-228,-199,-43,589,610,612,567,593
-9076,-7960,-2644,-228,-199,-43,589,610,612,567,593
-9076,-7960,-2644,-228,-199,-43,589,610,612,567,593
-9076,-7960,-2644,-228,-199,-43,589,610,612,567,593
-11992,-5776,-2536,5453,-143,136,588,609,613,566,592
-14388,-1368,-876,1102,35,-2153,588,609,614,568,592
-14388,-1368,-876,1102,35,-2153,588,609,614,568,592
-12736,-500,-504,-8848,-1159,-5113,586,612,614,567,592
-12736,-500,-504,-8848,-1159,-5113,586,612,614,567,592
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-12148,-3732,-1328,-18768,-1712,-9555,587,610,614,566,591
-1424,-12000,-7656,304,-10803,-6179,551,442,430,395,380
-1424,-12000,-7656,304,-10803,-6179,551,442,430,395,380
-2792,-11424,-5644,3076,-7866,-2938,535,395,393,365,362
-4920,-11372,-4984,7328,-4821,-580,537,375,367,342,346
-5780,-9212,-3904,5588,-2918,187,547,370,363,339,346
-5780,-9212,-3904,5588,-2918,187,547,370,363,339,346
-5152,-7384,-6388,-573,-3090,-333,545,348,343,328,330
-5152,-7384,-6388,-573,-3090,-333,545,348,343,328,330
-5152,-7384,-6388,-573,-3090,-333,545,348,343,328,330
-5752,-10028,-8144,5352,-3457,691,544,338,339,325,326
-5972,-7284,-3860,-505,-1613,-179,551,334,335,319,325
-5972,-7284,-3860,-505,-1613,-179,551,334,335,319,325
-7000,-11768,-2180,49,1,620,548,331,334,318,324
-7000,-11768,-2180,49,1,620,548,331,334,318,324
-7000,-11768,-2180,49,1,620,548,331,334,318,324
-6340,-11652,-5320,2137,317,778,545,330,333,318,325
-6736,-10400,-4124,1662,363,1678,545,331,336,320,324
-6736,-10400,-4124,1662,363,1678,545,331,336,320,324
-6648,-10296,-5024,1271,229,1311,544,334,337,322,327
-6168,-10180,-4740,744,65,936,545,336,339,321,327
-6168,-10180,-4740,744,65,936,545,336,339,321,327
-6016,-10320,-4464,668,144,838,544,337,341,321,329
-6404,-10316,-3860,153,287,188,544,336,340,323,328
-6404,-10316,-3860,153,287,188,544,336,340,323,328
