-5860,-9916,17512,-15370,3634,50,588,546,567,528,536
-5860,-9916,17512,-15370,3634,50,588,546,567,528,536
-5032,-14332,17212,-18441,8074,2380,576,531,552,515,516
-4412,-19036,12588,-12773,12134,9736,564,517,534,497,503
-4412,-19036,12588,-12773,12134,9736,564,517,534,497,503
-5392,-15204,11032,-2629,14411,17237,555,496,514,477,492
-6252,-10332,9960,370,15547,21085,550,481,490,456,486
-6252,-10332,9960,370,15547,21085,550,481,490,456,486
-6104,-5412,6996,-2525,14457,20897,548,480,481,446,482
-6164,-4296,4492,-4114,11741,19494,547,477,480,441,483
-6164,-4296,4492,-4114,11741,19494,547,477,480,441,483
-7516,-4028,2076,-2755,7061,16951,549,483,477,439,483
-6392,-3968,300,101,1242,14198,550,485,478,439,485
-6072,-1596,84,785,-4753,11760,549,487,479,442,487
-6072,-1596,84,785,-4753,11760,549,487,479,442,487
-6652,-788,1204,-4422,-11469,7469,549,488,477,442,487
-6652,-788,1204,-4422,-11469,7469,549,488,477,442,487
-6564,-2884,1880,-6513,-17905,4518,552,489,478,440,488
-6172,-4028,3980,-3536,-22630,2477,552,491,476,442,489
-6172,-4028,3980,-3536,-22630,2477,552,491,476,442,489
4288,-8360,10640,3094,-23838,3712,552,498,482,444,475
-17584,-5532,33567,-4507,-1658,1012,533,492,473,431,458
-8832,428,12412,2275,-860,-603,541,496,482,440,477
-8832,428,12412,2275,-860,-603,541,496,482,440,477
-6340,-4932,9484,2883,2880,3494,545,498,483,446,481
-9168,-4864,14356,3523,6051,3623,545,496,484,446,481
-9168,-4864,14356,3523,6051,3623,545,496,484,446,481
-8616,-3496,11984,1808,7821,3696,548,497,485,446,482
-8616,-3496,11984,1808,7821,3696,548,497,485,446,482
-8584,-3012,9520,-333,8763,3746,548,498,485,445,482
-9136,-3328,8200,-345,8082,3927,549,498,486,446,482
-9136,-3328,8200,-345,8082,3927,549,498,486,446,482
-8412,-1104,5612,-136,3630,2977,548,500,485,446,482
-8484,-880,5472,-116,3279,2754,547,498,485,446,481
-8968,-184,4992,-475,-168,892,548,499,486,446,481
-8968,-184,4992,-475,-168,892,548,499,486,446,481
-8352,-876,3064,-1263,-5547,-1498,549,501,484,443,483
-7164,-1696,1800,-50,-11960,-2202,546,503,486,446,483
-7164,-1696,1800,-50,-11960,-2202,546,503,486,446,483
-7832,-4212,3476,2658,-17370,-1850,548,505,487,445,484
12948,11156,33567,-1143,-13024,277,528,506,490,439,452
12948,11156,33567,-1143,-13024,277,528,506,490,439,452
12948,11156,33567,-1143,-13024,277,528,506,490,439,452
-7528,1692,7196,2168,-1435,-2200,540,515,489,447,472
-7528,1692,7196,2168,-1435,-2200,540,515,489,447,472
-8464,-3344,14092,-3352,-850,-3040,541,515,489,445,466
-8324,-3144,13284,-2103,769,-2588,540,514,490,446,466
-8324,-3144,13284,-2103,769,-2588,540,514,490,446,466
-8164,-3028,9872,-719,1412,-1891,539,514,490,447,470
-8904,-2800,11060,259,1410,-1478,543,516,491,447,467
