2032,-14515,-2917,100,-1947,395,571,594,606,556,566
2048,-14927,-3129,276,-1779,429,570,593,608,558,565
2048,-14927,-3129,276,-1779,429,570,593,608,558,565
1604,-14755,-2985,602,-1588,272,570,594,607,555,565
1916,-15091,-2885,703,-1845,287,572,592,605,557,566
1916,-15091,-2885,703,-1845,287,572,592,605,557,566
1276,-14943,-3029,792,-2340,-26,573,589,605,557,564
920,-16503,-2701,1232,-2884,-157,497,576,595,551,560
920,-16503,-2701,1232,-2884,-157,497,576,595,551,560
8,-19295,-4981,9145,-4422,2387,573,535,546,517,539
-2180,-18719,-2605,20250,-6750,6660,573,477,497,479,505
-3736,-17667,791,18749,-7806,10369,567,433,457,441,485
-3736,-17667,791,18749,-7806,10369,567,433,457,441,485
-3908,-20499,1419,18719,-7364,14332,554,418,450,423,473
-4868,-18527,3843,22929,-6320,19395,522,403,438,413,468
-4868,-18527,3843,22929,-6320,19395,522,403,438,413,468
-5336,-17175,7127,21836,-2967,23122,554,387,417,395,447
-5336,-17175,7127,21836,-2967,23122,554,387,417,395,447
-6212,-16879,7995,22090,505,26072,554,374,398,369,424
-6136,-16587,8011,22058,966,26382,552,362,380,357,407
-6136,-16587,8011,22058,966,26382,552,362,380,357,407
-6136,-16587,8011,22058,966,26382,552,362,380,357,407
-6384,-14595,8447,24881,4254,28458,561,341,348,336,379
-7460,-9051,8023,24431,12012,27762,564,338,345,332,371
-7460,-9051,8023,24431,12012,27762,564,338,345,332,371
-6060,-5583,7979,22019,12525,26659,560,335,342,329,369
-5936,-3595,6051,16628,12514,23963,557,335,342,328,365
-5936,-3595,6051,16628,12514,23963,557,335,342,328,365
-4400,-1615,4863,13957,11722,20706,553,335,341,327,364
-2824,1253,3743,11919,10163,17085,554,333,342,327,364
-2824,1253,3743,11919,10163,17085,554,333,342,327,364
-2828,3217,3027,7342,8065,12266,552,334,343,329,364
-3004,4249,2027,4238,5090,7215,552,336,343,328,364
-3004,4249,2027,4238,5090,7215,552,336,343,328,364
-3104,6437,1775,2900,1867,2552,551,335,345,329,364
-3476,6121,2227,-2444,-1001,-2874,552,336,344,331,362
-3476,6121,2227,-2444,-1001,-2874,552,336,344,331,362
-4020,5957,2971,-6678,-3737,-8113,551,340,347,328,360
-5232,4193,2631,-7505,-6239,-11755,552,340,347,330,360
-5232,4193,2631,-7505,-6239,-11755,552,340,347,330,360
-5872,3141,3947,-7817,-7940,-15388,553,339,347,330,358
-5872,3141,3947,-7817,-7940,-15388,553,339,347,330,358
-5872,3141,3947,-7817,-7940,-15388,553,339,347,330,358
-5872,3141,3947,-7817,-7940,-15388,553,339,347,330,358
-5872,3141,3947,-7817,-7940,-15388,553,339,347,330,358
-5872,3141,3947,-7817,-7940,-15388,553,339,347,330,358
-5872,3141,3947,-7817,-7940,-15388,553,339,347,330,358
-5872,3141,3947,-7817,-7940,-15388,553,339,347,330,358
-5872,3141,3947,-7817,-7940,-15388,553,339,347,330,358
-5872,3141,3947,-7817,-7940,-15388,553,339,347,330,358
