-6012,-11656,2456,200,-130,-214,565,548,562,530,537
-6008,-11272,2652,75,-117,-214,567,547,561,529,536
-6008,-11272,2652,75,-117,-214,567,547,561,529,536
-6112,-11212,2156,49,-142,-379,565,547,562,527,537
-6316,-10752,2472,438,-167,-624,565,545,560,529,534
-7208,-10620,2428,402,-442,-910,569,533,551,524,532
-7208,-10620,2428,402,-442,-910,569,533,551,524,532
-8468,-11496,3420,1574,-1017,-1531,569,495,507,494,509
-8468,-11496,3420,1574,-1017,-1531,569,495,507,494,509
-6032,-14756,3984,-2015,-699,374,571,435,445,444,467
-4336,-23276,960,-4796,-1348,5467,565,381,383,372,408
-4336,-23276,960,-4796,-1348,5467,565,381,383,372,408
-6576,-22984,120,190,-2349,18404,563,360,357,343,373
-9180,-14712,6164,-5566,1018,23344,552,348,353,335,357
-7636,-10548,3160,-3446,668,25484,545,348,351,332,351
-7636,-10548,3160,-3446,668,25484,545,348,351,332,351
-7548,-3772,532,1413,136,25394,542,348,351,333,349
-7908,1920,2100,-452,-588,19306,531,350,351,334,348
-7908,1920,2100,-452,-588,19306,531,350,351,334,348
-7776,3516,1772,1131,-1197,11597,543,352,353,334,348
-7776,3516,1772,1131,-1197,11597,543,352,353,334,348
-7872,2492,1176,5402,-2822,-5011,544,351,354,335,349
-9012,2568,1356,6172,-2786,-6228,544,353,353,336,350
-8708,1260,1464,10706,-4274,-11785,545,354,356,336,349
-8708,1260,1464,10706,-4274,-11785,545,354,356,336,349
-8312,-1416,3072,8719,-5452,-16417,545,356,354,337,350
-8500,-9320,6028,487,-4946,-18502,512,358,354,336,352
-8500,-9320,6028,487,-4946,-18502,512,358,354,336,352
-6888,-24188,6760,4392,-3137,-11531,520,358,356,338,352
-8356,-24508,7656,1926,-770,503,530,359,357,340,352
-8356,-24508,7656,1926,-770,503,530,359,357,340,352
-10300,-18808,5688,-13316,1701,7180,534,358,358,338,352
-9732,-16676,3204,-5459,1800,14781,539,360,357,340,353
-9328,-5984,2964,1403,1411,18276,526,362,357,339,354
-9328,-5984,2964,1403,1411,18276,526,362,357,339,354
-9424,2344,3292,-8859,1171,14032,539,361,359,339,355
-9424,2344,3292,-8859,1171,14032,539,361,359,339,355
-8900,3712,2604,-8667,194,7892,539,362,359,341,355
-10136,7372,3408,-1686,-494,-305,536,362,357,339,355
-10136,7372,3408,-1686,-494,-305,536,362,357,339,355
-8776,6060,2540,6061,-943,-9297,526,362,360,339,356
-8584,1356,2924,6199,-1158,-16129,533,364,361,341,356
-8584,1356,2924,6199,-1158,-16129,533,364,361,341,356
-7952,-8284,4812,2771,-1421,-18601,528,364,361,339,356
-6688,-16948,3976,2703,-1021,-14461,522,363,361,343,358
-8148,-17124,4388,1223,-392,-9509,525,364,360,341,359
-8148,-17124,4388,1223,-392,-9509,525,364,360,341,359
-8236,-16368,4028,-1487,31,-5320,529,365,362,343,357
-8312,-14032,3320,-619,321,-1674,532,365,360,343,356
-8312,-14032,3320,-619,321,-1674,532,365,360,343,356
